Site,Long,Lat,Elevation,year_start,year_end,years_data,PFT
FR-LGt,2.284102,47.322918,153,2017,2020,4,WET
FR-Pue,3.5958,43.7414,270,2000,2014,15,EBF
FR-Tou,1.37474,43.572857,158,2018,2020,3,GRA
GF-Guy,-52.9249,5.2788,48,2004,2014,11,EBF
GH-Ank,-2.6942,5.2685,124,2011,2014,3,EBF
GL-Dsk,-53.51413,69.25349,8,2020,2020,1,SH
IE-Cra,-7.641774,53.32309,NA,2020,2020,1,WET
IL-Yat,35.051989,31.345045,657,2000,2020,21,NF
IT-BCi,14.9574,40.5238,20,2004,2014,11,CRO
IT-BFt,10.741966,45.197754,23,2019,2020,2,DBF
IT-CA1,12.0266,42.3804,200,2011,2014,4,DBF
IT-CA2,12.026,42.3772,200,2011,2014,4,CRO
IT-CA3,12.0222,42.38,197,2011,2014,4,DBF
IT-Col,13.5881,41.8494,1560,1996,2014,19,DBF
IT-Cp2,12.3573,41.7043,19,2012,2014,3,EBF
IT-Cpz,12.3761,41.7052,68,1997,2009,13,EBF
IT-Isp,8.6336,45.8126,210,2013,2014,2,DBF
IT-La2,11.2853,45.9542,1350,2000,2002,3,NF
IT-Lav,11.2813,45.9562,1353,2003,2014,12,NF
IT-Lsn,12.750297,45.740482,1,2016,2020,5,SH
IT-MBo,11.0458,46.0147,1550,2003,2013,11,GRA
IT-Noe,8.1515,40.6061,28,2004,2014,11,SH
IT-PT1,9.061,45.2009,60,2002,2004,3,DBF
IT-Ren,11.4337,46.5869,1730,1998,2013,16,NF
IT-Ro1,11.93,42.4081,235,2000,2008,9,DBF
IT-Ro2,11.9209,42.3903,160,2002,2012,11,DBF
IT-SR2,10.291,43.732,12,2013,2014,2,NF
IT-SRo,10.2844,43.7279,6,1999,2012,14,NF
IT-Tor,7.5781,45.8444,2160,2008,2014,7,GRA
JP-MBF,142.3186,44.3869,296,2003,2005,3,DBF
JP-SMF,137.0788,35.2617,319,2002,2006,5,MF
MX-Tes,-109.2977,27.8446,460,2004,2009,6,DBF
MY-PSO,102.3062,2.973,0,2003,2009,6,EBF
NL-Hor,5.0713,52.2404,2.2,2004,2011,8,GRA
NL-Loo,5.7436,52.1666,25,1996,2013,18,NF
NO-Adv,15.923,78.186,17,2011,2014,4,WET
NO-Blv,11.8311,78.9216,25,2008,2009,2,NO
PA-SPn,-79.6346,9.3181,78,2007,2009,2,DBF
PA-SPs,-79.6314,9.3138,68,2007,2009,2,GRA
PE-QFR,-73.319,-3.8344,104,2018,2019,2,WET
RU-Che,161.3414,68.613,4,2002,2005,4,WET
RU-Cok,147.4943,70.8291,48,2003,2014,12,SH
RU-Fy2,32.901878,56.447603,276,2015,2020,6,NF
RU-Fyo,32.9221,56.4615,265,1998,2014,17,NF
RU-Ha1,90.0022,54.7252,446,2002,2004,3,GRA
RU-Sam,126.4978,72.3733,0,2002,2014,12,GRA
RU-SkP,139.168,62.255,246,2012,2014,2,NF
RU-Tks,128.8878,71.5943,7,2010,2014,4,GRA
RU-Vrk,62.9405,67.0547,100,2008,2008,1,SH
SD-Dem,30.4783,13.2829,500,2005,2009,5,SAV
SE-Deg,19.55654,64.18203,270,2001,2020,20,WET
SE-Htm,13.41897,56.09763,115,2015,2020,6,NF
SE-Lnn,13.10177,58.34063,71,2014,2018,5,CRO
SE-Nor,17.479504,60.0865,45,2014,2020,7,NF
SE-Ros,19.738,64.1725,157,2014,2020,7,NF
SE-St1,19.0503,68.3541,351,2012,2014,3,WET
SE-Svb,19.7745,64.25611,267,2014,2020,7,NF
SN-Dhr,-15.4322,15.4028,40,2010,2013,4,SAV
US-A32,-97.8198,36.8193,335,2015,2017,3,GRA
US-A74,-97.5489,36.8085,337,2016,2017,2,CRO
US-ALQ,-89.6067,46.0308,NA,2015,2021,7,WET
US-AR1,-99.42,36.4267,611,2009,2012,4,GRA
US-AR2,-99.5975,36.6358,646,2009,2012,4,GRA
US-ARb,-98.0402,35.5497,424,2005,2006,2,GRA
US-ARc,-98.04,35.5465,424,2005,2006,2,GRA
US-ARM,-97.4888,36.6058,314,2003,2020,18,CRO
US-Atq,-157.4089,70.4696,15,2003,2008,5,WET
US-Bar,-71.2881,44.0646,272,2004,2021,18,DBF
US-Bi1,-121.4993,38.0992,-2.7,2016,2021,6,CRO
US-Bi2,-121.5351,38.1091,-5,2017,2021,5,CRO
US-Blo,-120.6328,38.8953,1315,1997,2007,11,NF
US-BRG,-86.5406,39.2167,180,2016,2020,5,GRA
US-BZB,-148.3208,64.6955,100,2011,2021,11,WET
US-BZF,-148.3121,64.7013,95,2011,2021,11,WET
US-BZo,-148.33,64.6936,100,2018,2021,4,WET
US-BZS,-148.3235,64.6963,100,2010,2021,12,NF
US-CF1,-117.0821,46.7815,794,2017,2020,4,CRO
US-CF2,-117.0908,46.784,807,2017,2020,4,CRO
US-CF3,-117.1261,46.7551,795,2017,2021,5,CRO
US-CF4,-117.1285,46.7518,795,2017,2021,5,CRO
US-Cop,-109.39,38.09,1520,2001,2007,7,GRA
US-CRT,-83.3471,41.6285,180,2011,2013,3,CRO
US-CS1,-89.5379,44.1031,328,2018,2019,2,CRO
US-CS2,-89.5002,44.1467,328,2018,2021,4,NF
US-CS3,-89.5727,44.1394,328,2019,2020,2,CRO
US-CS4,-89.5475,44.1597,328,2020,2021,2,CRO
US-DFC,-89.7117,43.3448,264.9,2018,2021,4,CRO
US-EDN,-122.114,37.6156,0,2018,2019,2,WET
US-EML,-149.2536,63.8784,662,2008,2020,13,SH
US-Fcr,-148.9348,65.3968,265,2011,2014,4,SH
US-Fmf,-111.7273,35.1426,2160,2005,2010,6,NF
US-Fuf,-111.762,35.089,2180,2005,2010,6,NF
US-GBT,-106.2397,41.3658,3191,1999,2006,8,NF
US-GLE,-106.2399,41.3665,3197,2005,2020,16,NF
US-Goo,-89.8735,34.2547,87,2002,2006,4,GRA
US-Ha1,-72.1715,42.5378,340,1991,2020,30,DBF
US-HB1,-79.1957,33.3455,0.1,2019,2019,1,WET
US-Hn2,-119.4641,46.6889,117.5,2015,2018,4,GRA
US-Hn3,-119.4614,46.6878,120.9,2017,2018,2,SH
US-Ho2,-68.747,45.2091,61,1999,2020,22,NF
US-HWB,-77.8488,40.8608,378,2015,2018,4,CRO
US-IB2,-88.241,41.8406,226,2004,2011,7,GRA
US-ICh,-149.2958,68.6068,940,2007,2021,15,SH
US-ICs,-149.311,68.6058,920,2007,2020,14,WET
US-ICt,-149.3041,68.6063,930,2007,2021,15,SH
US-Ivo,-155.7503,68.4865,568,2004,2007,4,WET
US-Jo1,-106.635,32.582,1188,2010,2020,11,SH
US-Jo2,-106.6032,32.5849,1469,2010,2020,11,SH
US-KFS,-95.1907,39.0561,310,2007,2019,13,GRA
US-KLS,-97.5684,38.7745,373,2012,2019,8,GRA
US-KS1,-80.6709,28.4583,1,2002,2002,1,NF
US-KS2,-80.6715,28.6086,3,2003,2006,4,SH
US-KS3,-80.7427,28.7084,0,2018,2018,1,WET
US-Lin,-119.8423,36.3566,131,2009,2010,2,CRO
US-Los,-89.9792,46.0827,480,2000,2014,15,WET
US-LS2,-110.1344,31.5659,1240,2002,2007,6,SAV
US-LWW,-97.9789,34.9604,365,1997,1998,2,GRA
US-Me1,-121.5,44.5794,896,2004,2005,2,NF
US-Me2,-121.5589,44.4526,1253,2002,2020,19,NF
US-Me3,-121.6078,44.3154,1005,2004,2009,6,NF
US-Me4,-121.6224,44.4992,922,1996,2000,5,NF
US-Me5,-121.5668,44.4372,1188,2000,2002,3,NF
US-Me6,-121.6078,44.3233,998,2010,2021,12,NF
US-MMS,-86.4131,39.3232,275,1999,2020,22,DBF
